"Bulan Bongkar 1","Supply site","No SI","Vendor","TYPE","SHIPPING LINE","Delivery Date","COMPANY"
"","NDC AHI jababeka","260622L048","DUMMY-LK-EKSP","FUSO","A723 ST AHI EXP PLAJU PALEMBANG","22 Jun 2026",""
"","NDC AHI jababeka","260622L049","KMJ","Cont-20","A633 ST AHI TANJUNG PINANG","22 Jun 2026",""
"","NDC AHI jababeka","260622L050","TPIL","Cont-20","A614 ST AHI CITIMALL BONTANG","22 Jun 2026",""
"","NDC AHI jababeka","260622L051","LOGISLY","FUSO","A517 ST AHI JAMBI PRIMA MALL","22 Jun 2026",""
"","NDC AHI jababeka","260622L052","DT","FUSO","A631 ST AHI BUKIT TINGGI","22 Jun 2026",""
"","NDC AHI jababeka","260622T003","BS","WINGBOX","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T004","JPT","Cont-40","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T007","JPT","Cont-20","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T008","JPT","Cont-20","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T009","DUNEX","WINGBOX","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T010","DUNEX","WINGBOX","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622T038","DUMMY-LK-EKSP","Cont-40","A007 WH AHI MEDAN","22 Jun 2026",""
"","NDC AHI jababeka","260623L013","SPP","FUSO","A451 ST AHI LW PEKANBARU","22 Jun 2026",""
"1","IND JABABEKA","251230L047","NCL","CDE","DUMMY CUSTOMER","2 Jan 2026",""
"1","IND JABABEKA","260103L026","SFL","MINI VAN BOX","DUMMY CUSTOMER","3 Jan 2026",""
"1","IND JABABEKA","260121L007","ECM","CDD","Q307 ST KLO LAMPUNG","21 Jan 2026",""
"3","IND JABABEKA","260307L051","BK","LOSBAK","DUMMY CUSTOMER","16 Mar 2026",""
"3","IND JABABEKA","260307L052","BK","LOSBAK","DUMMY CUSTOMER","16 Mar 2026",""
"4","IND JABABEKA","260401L106","SFL","MINI VAN BOX","DUMMY CUSTOMER","1 Apr 2026",""
"","IND JABABEKA","260408L132","NCL","CDE","DUMMY CUSTOMER","10 Apr 2026",""
"4","IND JABABEKA","260416L065","MAS","CDE","DUMMY CUSTOMER","16 Apr 2026",""
"","IND JABABEKA","260428L107","SFL","MINI VAN BOX","DUMMY CUSTOMER","28 Apr 2026",""
"2","IND JABABEKA","260204L131","NCL","CDE","DUMMY CUSTOMER","4 Feb 2026",""
"","IND JABABEKA","260528L049","MAS","CDD","DUMMY CUSTOMER","28 May 2026",""
"","IND JABABEKA","260528L054","MAS","CDD","DUMMY CUSTOMER","28 May 2026",""
"","IND JABABEKA","260529L044","BIP","FUSO","DUMMY CUSTOMER","29 May 2026",""
"","IND JABABEKA","260529L049","NCL","CDE","DUMMY CUSTOMER","29 May 2026",""
"","IND JABABEKA","260602L045","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L064","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L065","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L066","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L067","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L068","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L070","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L071","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L073","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L074","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L075","MAS","CDE","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L106","MAS","CDD","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260602L121","SFL","MINI VAN BOX","DUMMY CUSTOMER","2 Jun 2026",""
"","IND JABABEKA","260513L082","NCL","CDE","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260513L098","NCL","CDD","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260513L077","NCL","CDE","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260513L078","NCL","CDE","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260513L087","NCL","CDE","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260513L088","NCL","CDE","DUMMY CUSTOMER","13 May 2026",""
"","IND JABABEKA","260606L078","MAS","CDE","DUMMY CUSTOMER","6 Jun 2026",""
"","IND JABABEKA","260605L060","NCL","CDD","DUMMY CUSTOMER","8 Jun 2026",""
"","IND JABABEKA","260605L063","NCL","CDD","DUMMY CUSTOMER","8 Jun 2026",""
"","IND JABABEKA","260609L083","MAS","CDE","DUMMY CUSTOMER","9 Jun 2026",""
"","IND JABABEKA","260609L054","NCL","FUSO","DUMMY CUSTOMER","10 Jun 2026",""
"","IND JABABEKA","260610L014","BIP","CDD","DUMMY CUSTOMER","10 Jun 2026",""
"","IND JABABEKA","260610L118","BIP","CDE","DUMMY CUSTOMER","10 Jun 2026",""
"","IND JABABEKA","260609L081","MAS","CDE","DUMMY CUSTOMER","11 Jun 2026",""
"","IND JABABEKA","260609L107","MAS","CDE","DUMMY CUSTOMER","11 Jun 2026",""
"","IND JABABEKA","260611L081","MAS","CDE","DUMMY CUSTOMER","11 Jun 2026",""
"","IND JABABEKA","260612L033","BIP","FUSO","DUMMY CUSTOMER","12 Jun 2026",""
"","IND JABABEKA","260612L096","NCL","CDE","DUMMY CUSTOMER","12 Jun 2026",""
"","IND JABABEKA","260622L036","BIP","CDD","DUMMY CUSTOMER","22 Jun 2026",""
"","IND JABABEKA","260622T012","CE","WINGBOX","A007 WH AHI MEDAN","22 Jun 2026",""
"","IND JABABEKA","260622L012","ECM","CDD","Q350 ST KLO BANYUWANG","22 Jun 2026",""
"","IND JABABEKA","260622L014","ECM","CDD","","22 Jun 2026",""
"","IND JABABEKA","260619L069","NCL","CDD","DUMMY CUSTOMER","22 Jun 2026",""
